title,popularity,release_date,vote_average,vote_count
The Shawshank Redemption,210.704,1994-09-23,8.708,27246
The Godfather,182.054,1972-03-14,8.7,20692
The Godfather Part II,113.029,1974-12-20,8.572,12482
Schindler's List,88.182,1993-12-15,8.567,15897
12 Angry Men,48.62,1957-04-10,8.547,8693
Spirited Away,110.203,2001-07-20,8.538,16558
Dilwale Dulhania Le Jayenge,50.68,1995-10-20,8.5,4439
The Dark Knight,164.848,2008-07-16,8.5,32966
The Green Mile,75.942,1999-12-10,8.507,17497
Parasite,113.646,2019-05-30,8.506,18344
Flow,365.762,2024-08-29,8.483,361
Pulp Fiction,105.943,1994-09-10,8.487,27963
Your Name.,112.901,2016-08-26,8.485,11405
The Lord of the Rings: The Return of the King,158.981,2003-12-17,8.482,24271
Forrest Gump,190.11,1994-06-23,8.47,27489
"The Good, the Bad and the Ugly",72.715,1966-12-22,8.465,8636
Seven Samurai,61.76,1954-04-26,8.5,3689
Grave of the Fireflies,0.049,1988-04-16,8.5,5575
GoodFellas,78.902,1990-09-12,8.456,12892
Cinema Paradiso,38.141,1988-11-17,8.45,4376
Life Is Beautiful,79.174,1997-12-20,8.449,13052
Interstellar,237.341,2014-11-05,8.444,35755
Impossible Things,11.445,2021-06-17,8.4,389
Fight Club,207.059,1999-10-15,8.4,29473
Psycho,53.467,1960-06-22,8.429,10077
City of God,47.835,2002-08-30,8.426,7399
Once Upon a Time in America,42.986,1984-05-23,8.418,5400
The Lord of the Rings: The Fellowship of the Ring,184.848,2001-12-18,8.416,25234
One Flew Over the Cuckoo's Nest,42.224,1975-11-19,8.415,10458
Gabriel's Inferno,13.839,2020-05-29,8.4,2413
A Dog's Will,12.586,2000-09-15,8.411,1102
Howl's Moving Castle,82.031,2004-09-09,8.403,9922
Primal: Tales of Savagery,15.0,2019-11-21,8.403,318
The Wild Robot,1383.005,2024-09-08,8.4,3353
The Lord of the Rings: The Two Towers,132.312,2002-12-18,8.399,21899
Spider-Man: Into the Spider-Verse,102.549,2018-12-06,8.398,15647
Harakiri,17.758,1962-09-15,8.4,1001
The Empire Strikes Back,58.556,1980-05-20,8.4,16954
Gabriel's Inferno: Part II,11.246,2020-07-31,8.389,1515
A Silent Voice: The Movie,61.096,2016-09-17,8.384,3960
Hope,18.886,2013-10-02,8.384,736
Dou kyu sei – Classmates,17.252,2016-02-20,8.382,386
Gabriel's Inferno: Part III,22.006,2020-11-19,8.4,1054
Whiplash,80.573,2014-10-10,8.4,15129
The Pianist,54.793,2002-09-17,8.379,9178
Se7en,79.305,1995-09-22,8.375,21036
Radical,39.129,2023-10-19,8.4,421
Inception,124.65,2010-07-15,8.369,36630
The Legend of Hei,14.322,2019-08-27,8.4,366
Spider-Man: Across the Spider-Verse,263.098,2023-05-31,8.353,7030
Rear Window,38.101,1954-08-01,8.4,6476
The Quintessential Quintuplets Movie,31.959,2022-05-20,8.35,387
The Silence of the Lambs,26.659,1991-02-14,8.346,16298
American History X,37.262,1998-07-01,8.343,11550
Princess Mononoke,55.161,1997-07-12,8.335,8015
High and Low,18.154,1963-03-01,8.3,907
Taylor Swift: Reputation Stadium Tour,14.739,2018-12-31,8.3,386
Back to the Future,81.612,1985-07-03,8.317,19946
Once Upon a Studio,34.831,2023-09-24,8.316,354
Perfect Blue,42.579,1998-02-28,8.314,2661
A Brighter Summer Day,17.827,1991-07-27,8.31,318
Sunset Boulevard,21.7,1950-08-10,8.311,2578
Dedicated to my ex,10.511,2019-11-01,8.3,502
Dead Poets Society,58.232,1989-06-02,8.308,11266
Neon Genesis Evangelion: The End of Evangelion,37.587,1997-07-19,8.307,1603
Léon: The Professional,76.999,1994-09-14,8.306,14791
The Great Dictator,18.845,1940-10-15,8.3,3370
Hotarubi no Mori e,0.02,2011-09-17,8.3,1107
Ikiru,21.318,1952-10-09,8.3,1135
TAYLOR SWIFT | THE ERAS TOUR,41.408,2023-10-13,8.3,410
Once Upon a Time in the West,56.92,1968-12-21,8.289,4337
Modern Times,19.41,1936-02-05,8.3,3693
"Josee, the Tiger and the Fish",29.042,2020-12-25,8.276,468
The Intouchables,76.818,2011-11-02,8.275,17222
Apocalypse Now,75.645,1979-08-15,8.275,8224
City Lights,14.125,1931-02-06,8.3,2167
It's a Wonderful Life,98.414,1946-12-20,8.3,4293
"The Boy, the Mole, the Fox and the Horse",32.344,2022-12-25,8.3,577
We All Loved Each Other So Much,9.51,1974-12-21,8.268,559
Paths of Glory,20.889,1957-10-25,8.268,2914
